,company,description,location,posted,title
66,CyberCoders,position open 10 23 2016 research engineer python machine learning research engineer experience please read looking motivated self starters extremely fast learners top notch problem solving analytic skills must strong desire dig deep petabytes data love play innards complex algorithms mathematical constructs code use panda python environement doingthe data scientist research engineer work engineering team research prototype design build maintain next generation prediction optimization analytics technologies need positionat least 3 years experience knowledge master degree phd degree closely related field eg computer science engineering optimization top notch university strongly preferred although ms degree holders demonstrably exceptional research abilities may consideredsolid computing background thorough understanding fundamentals computer science data structures algorithms significant experience writing code python experience using panada plus experience writing highly scalable low latency distributed systems plusexperience one following areas machine learning statistical modeling optimization algorithms big dataexcellent communication skills ability present communicate complex ideas simple termsstrong statistical math analytical abilities exceptional problem solving skillsso research engineer experience please apply today required skillsmachine learning research engineer modeling data python pandaif good fit research engineer python machine learning position background includes machine learning research engineer modeling data python panda interested working following job types information technology engineering professional serviceswithin following industries computer software banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements machine learning research engineer modeling data python panda,"San Mateo, CA",Posted 9 days ago,Research Engineer
67,"Samsung SDS America, Inc.",position summary director venture investment exciting new position hands results oriented investment director core mission identify strategic investment opportunities early stage startups participate deal execution process preliminary due diligence term sheet negotiation range market spaces including mobility analytics cloud also participate building technology partnerships start ups receive funding position would require clear understanding samsung sds solution strategy roadmap proactive engagement venture capital community source strategic investment opportunities responsibilities network venture capitalists accelerators entrepreneurs identify potential strategic investment partnership opportunitiesdevelop manage technology partnerships start upsevaluate conduct due diligence specific opportunities assess attractiveness build rationale strategic investmentcoordinate among stakeholders internally drive potential deal beginning enddevelop strategic themes actionable investment thesis areas strategic relevance samsung sdsmandatory skills undergraduate degree technical field along mba preferred15 years experience technology fields substantial portion venture investment partnership development business development roles5 years recent experience knowledge software service big data artificial intelligence cloud infrastructure enterprise mobility productspreferred strong network relationship top tier venture capitalistsbusiness technical majorsstrong communication presentation skillsstrong planning project organizational skillsknowledge technologies areas software service big data artificial intelligence cloud infrastructure enterprise mobilitystrong sense technology trends passionate innovations enterprise itability work independently teamability travelsamsung sds america equal opportunity affirmative action employer discriminate basis race color creed religion national origin sex includes pregnancy childbirth breastfeeding related medical conditions age marital status sexual orientation gender gender identity gender expression disability medical condition family leave status citizenship status ancestry marital status genetic information military veteran status characteristic protected local state federal laws rules regulations contractor samsung sds america discharge manner discriminate employees applicants inquired discussed disclosed pay pay another employee applicant however employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractor legal duty furnish information,"San Jose, CA",Posted 5 days ago,"Director, Venture Investment"
68,"Lab Support, a division of On Assignment",duties primary responsibilities accountabilities carry pharmacovigilance risk management activities specific product products contribute pharmacovigilance risk management planning designated products preparation safety surveillance strategy highlighting tracking potential issues support preparation maintenance risk management plans prepare review periodic safety reports pbrer psur dsur eu renewal annual safety reports accordance regulatory requirements standard operating procedures support preparation maintenance safety sections company core data sheet lead support pds post marketing safety study activities coordinate safety activities pds internal external partners carry signal detection activities evaluation conduct support signal detection evaluation according sops guidelines carry medical review individual case safety reports icsrs assigned product according sops guidelines prepare safety assessments drug safety reports necessary potential signals issues product quality respond safety requests assigned product regulatory agencies affiliates internal functions contribute drug safety input activities define implement clinical development strategy product group products provide safety content review clinical protocols study reports investigators brochure related documents ensure alignment cdp contribute regulatory agency submissions ind applications ndas maa variations renewals reviewing safety data preparing relevant sections filing documents submission packages participate provide input drug safety monitoring boards independent monitoring committee meetings applicable safety scientist develop clear understanding safety issues thorough knowledge drug mode action enable support ssl timely medically scientifically sound development clinical safety portions product development plan pdp develop understanding safety profile assigned product whenever assigned ssl safety scientist responsible development whenever appropriates execution rmp rems risk mitigation tactics professional technical requirements strong knowledge international drug regulation including gcp gvp gmp skills prior industry experience drug safety clinical development medical affairs desirable md candidates clinical practice experience least 3 years preferred may include residency good knowledge pharmacovigilance practices good knowledge us eu pharmacovigilance regulatory requirements excellent written verbal communication skills ability present critically discuss clinical data internal external discussions ability evaluate interpret synthesize scientific data analytical thinking team player ability function multi disciplinary environment self motivated able prioritize plan effectively attention detail fluent english verbal written good negotiating influencing skills good computing skills education phd pharmd pharm ms equivalent qualification strongly desired md phd pharmd preferred bioscience degree required hours per day 8 00 eeo employer lab support equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 866 612 2739,"South San Francisco, CA",Posted 14 days ago,Scientist
69,The Ascent Services Group,please call bhavna khanna 925 627 4981 email [click email resum ] questions data scientistsan jose cafulltime role us citizens parties authorized work us encouraged apply unable sponsor visas global shipping client looking data scientists work several areas including optimization problems machine learning prediction streaming data processing time series analysis clustering recommendation systems responsibilities transform large complex datasets pragmatic actionable insights know wide variety models algorithms understand strengths weaknesses given business problem able articulate strategy solve words love analyze data solve problems develop models implement solutions design develop program methods processes systems consolidate analyze unstructured diverse big data sources generate actionable insights solutions client services product enhancement develop code software programs algorithms automated processes cleanse integrate evaluate large datasets multiple disparate sources leverage statistical computing tools data visualization sampling analysis model selection estimator bias calculated variance significance testing build rich tooling based python enable others team work data effectively understand technology stack business workflow sufficiently trace data back source qualifications 3 5 years experience statistics data mining predictive modeling required 3 5 years programming experience r java scala required experience scripting languages like python required sql experience experience tibco spotfire r python numpy d3 data visualization platform experience application big data tools techniques spark hadoop cassandra map reduce nosql solutions mongo db nice please call bhavna khanna 925 627 4981 email [click email resum ] questions,"San Jose, CA",Posted 19 days ago,Data Scientist
70,Apex Systems,bidw business analyst contractor specialist data consultant data consultant expected 1 analyze develop complex logical database designs data models relational data support corporate client area information systems requirements 2 participate development outcomes process measures including technical specifications enable measurement evaluation 3 direct execute creative analytical approaches lead actionable outcomes promote organizational departmental goals 4 proactively recognize potential issues develop plans address understand communicate steps department leadership clients 5 work identify opportunities methods improve efficiencies analysis 6 evaluate effectiveness actions programs implemented make recommendations data consultant demonstrate ability successfully manage aspects analyses requested including analysis planning defining data requirements extracting managing data conducting analyses reporting development communicating conclusions recommendations stakeholders candidates must good writing presentation skills also must self motivated detail oriented ability work limited supervision work well part team must comfortable environment constantly changing priorities hours 8am 5pm worksite location 1800 harrison 9th floor oakland ca 94612 scope project contractor may assigned operational work projects may work independently may part team individuals conducting work educational requirements minimum bachelor degree contractor working medical facility 50 n n travel required team members 5 contractor report dana l kealoha direct reports top preferred skills 6 8 hands experience independently analyzing large complex data sets excellent data management skills supported depth knowledge demonstrated experience working large complex data excellent analytic problem solving skills skilled ms excel sql sas vba databases analytics tools must know manipulate extract analyze report data excellent communication skills ability produce microsoft powerpoint presentations salesforce com sharepoint experience eeo employer apex systems llc equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 866 612 2739,"Oakland California, CA",Posted 7 days ago,Data Consultant
71,CDK Global,stability meets agility 2 billion revenues cdk global nasdaq cdk leading global provider integrated information technology digital marketing solutions automotive retail industry cdk global provides solutions 100 countries serving 27 000 retail locations automotive manufacturers cdk global solutions automate integrate critical processes pre sale targeted advertising sale financing insurance parts supply repair maintenance vehicles increasing focus utilizing data analytics predictive intelligence data scientists sales operations experts hiring support growth green light career position summaryare strategic thinker passionate actionable analysis data driven business improvement cobalt leader automotive intelligence 10 000 automotive retail websites work closely automotive manufactures across us optimizing retail networks seeking experienced consultants use analytics develop strategic site optimization b n multivariate testing plans become key part customer overall business model client embedded position typically single client site requires highly consultative skill set personality principal duties responsibilities support definition kpis goals automotive retail network websites associated programs identify measurement strategies metrics measure goals support drive holistic performance analysis includes offline data attitudinal data well competitive data interpret complex data sets translate executive insights identify opportunities continuously optimize program performance manage client site testing strategy across number disciplines define b mvt multivariate test scenarios success metrics forge relationships manufacturer agency record cooperate closely measurement strategy requirements help clients integrate manage multi tier web marketing programs based cobalt automotive platforms work tier 1 ad agencies coordinate campaign media efficacy limited travel required knowledge skills abilities college graduate degrees qualitative quantitative sciences including behavioral sciences behavioral economics statistics math business least two years working hands omniture web strategy background 3 4 years excellent communication presentation skills experience working senior managers executives strong data analysis skills experience working b multi variant testing tools including omniture test target others experience strategic marketing business management including online offline analytics experience managing complex projects tight timelines experience online testing offline equivalent media creative testing dm list management etc high level expertise driving data strategy across multiple listening posts websites surveys testing crm systems market research etc familiar terminology relating sem search engine marketing ppc pay per click seo search engine optimization ability monetize financial gains site design optimization prioritize projects based roi impact ideal candidate expereince agency background benchmarking automotive industry experience omniture certifications plus physical requirements work environment typical special physical requirements typical standard office environment cdk global knows passions outside work family friends sporting events lots things going offer comprehensive benefits package take care family well benefits effective first day employment including 401k matching paid time energize donate time volunteer community tuition reimbursement name cdk global equal opportunity employer minorities women veterans disabled believe diversity aspects business leads strength,"Seattle, WA",Posted 15 days ago,Business Intelligence Consultant II
72,CyberCoders,position open 10 23 2016 product designer real time video streamingif product designer experience please read group individuals created previous companies products bought used youtube twitch facebook brightcove zencoder others created new cutting edge platform improve real time performance monitoring analytics video streaming looking product designer come lead ideal candidate atleast 3 years product design prototyping photoshop wire frames intuitive user experiences functional prototypes html css building interfaces fit expectations want speak ideal candidate go getter risk taker attitude ready new career another job want apply need positionat least 3 years experience knowledge product design prototyping photoshop wire frames intuitive user experiences functional prototypes html css building interfaceswhat salary market equity health dental insurance catered lunches every day snacks drinks great coffee 401k flexible pto investment growth educationso product designer experience please apply today required skillsproduct design prototyping html css functional prototypes intuitive user experiences interface design user interfaceif good fit product designer real time video streaming position background includes product design prototyping html css functional prototypes intuitive user experiences interface design user interface interested working following job types information technology engineering professional serviceswithin following industries computer software banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements product design prototyping html css functional prototypes intuitive user experiences interface design user interface,"San Francisco, CA",Posted 1 day ago,Product Designer
73,Trinchero Family Estates,job summary work directly brand teams key marketing service functions role instrumental initiating nurturing maintaining digital connection consumers interested brands focus efforts tied building brand loyalty brand engagement driving purchase preference role senior manager digital marketing lead strategic development execution digital marketing initiatives person oversee projects inception completion including digital advertising promotions search marketing mobile marketing social media content marketing well new emerging opportunities point person digital efforts person collaborate internal teams external agencies working successfully meet exceed business objectives additional efforts tied web analytics digital metrics measurements order adequately gauge performance optimize initiatives establish best practices also key requirements position essential functions following reflects management definition essential functions job restrict tasks may assigned management may assign reassign duties responsibilities job time due reasonable accommodation reasons manages implements required training staff ensures adherence policies procedures governmental regulations manages implements career planning personal development staff manages ensures annual performance reviews effective completed time staff responsible selection top talent job training new hires coaching top performance digital marketing strategy leads digital marketing team ensuring superior quality strategic execution project delivery provided times manages design development innovative programs directly align business objectives provides ongoing strategic direction marketing teams relation opportunity impact digital marketing efforts keeps informed industry activities well new digital strategies resources opportunities techniques acts digital marketing subject matter expert tfe ensures digital marketing programs meet beverage alcohol legal requirements project management leads strategic development execution digital marketing projects coordinating architecting digital initiatives identifies evaluates oversees external agencies works across internal departments effectively manage multiple projects sets achieves objectives deadlines leads teams successfully meet strategic imperatives necessary fulfill project requirements adequately support projects concept execution analysis process development works establish organizational departmental processes protocols pertains digital marketing execution direct digital marketing planning test learn culture analysis best practices works adequately measure optimize campaign performance also establishing benchmarks recommending improvements well best practices evaluates reports aspects digital marketing performance educates tfe digital trends works internal external partners ensure successful adoption utilization corporate social media systems utilizes analytics software evaluate digital promotional efforts including website statistics advertising analysis social media etc recommends reports optimization tactics leadership teams leverages corporate listening platform evaluate performance gauge industry trends compile recommendations well best practices working conditions office environment extensive computer work may required work tfe locations frequent deadline pressures numerous projects progress given time comply company safety regulations qualifications education bachelor degree required mba preferred years experience 10 years digital interactive marketing experience working providing digital marketing services organization collection brands record working successfully across multiple functions advanced understanding digital advertising media industry trends developments well social media uses knowledge present business building strategies proven track record leveraging research analysis drive strategic direction best practices process improvements strong communication creative skills across multiple mediums ranging written words video user interface design evaluation proven leadership skills ability influence others order achieve strategic vision strong working knowledge experience various web digital technologies platforms usability practices deliver exceptional online consumer experience excellent computer technical skills familiarity emerging digital mediums individual must strong analytical data interpretation critical thinking skills,"Napa, CA",Posted 2 days ago,"Sr. Manager, Digital Marketing"
74,BIG WEDNESDAY DIGITAL,android developer bangkok join award winning dot com asia please note role based bangkok thailand full relocation visa sponsorship provided skill experience requirements android engineer loves understands native apps seek challenge using cutting edge technologies craft robust smooth beautiful apps deliver high quality well designed deeply tested code within tight time constraints deep understanding modern app design principles familiarity unit testing fluent explaining justifying design decisions might expertise mvvm reactive programming would major plus essential expect able master many technologies superb attention detail ui performance code produced client believes high performance back end enough also deliver best possible ui ux experience customers comes layout animations transitions ultimately technologist real passion mobile apps client wants innovative ideas enhance products needed create new standard technologies interest expecting java android sdk gradle data binding rxjava dagger2 junit 4 mockito robolectric http https rest api volley fresco bug crush reporting solutions tracking google analytics jenkinswe accept applications thai international individuals however good standard english written spoken requirement role join mobile app scrum team part day day responsibilities come best suitable technology architecture tasks work closely api team understand back end functionality architecture communicate constantly designated product owner understand measure business values developed features provide ideas technological product enhance overall app experiencemy client client largest fastest growing online hotel booking platform asia part largest online travel company world despite success size company still operate start feel get part choosing working technologies solve business concerns understand value great mobile experience customers constantly investing mobile app development right finishing lines launching exciting update ios android apps totally engineered redesigned experience built ground newest technologies road map extend significantly continually pushing become world best offer work profitable business atmosphere fun start work interesting problems high degree autonomy competitive salary benefits full time position working site client offices downtown bangkok thailand open individuals nationalities client help relocation currently based bring looking looks like written send us cv equal opportunity employer value diversity company discriminate basis race religion color national origin gender sexual orientation age marital status veteran status disability status languages english,"Seattle, WA",Posted 19 days ago,Android Developer -Relocate to Bangkok
75,Oportun (formerly Progreso Financiero),oportun financial technology company founded 2005 mission providing credit building affordable loans approximately 25 million us hispanics whose needs met traditional financial institutions oportun uses advanced data analytics technology score lend money individuals limited credit history people lenders consider unscorable offer bilingual english spanish servicing documentation via telephone web mobile person nearly 180 locations california illinois nevada texas utah recognition oportun goals increasing economic opportunity clients promoting community development serving low income underserved communities oportun certified united states department treasury community development financial institution november 2009 certified october 2013 oportun everything reflects corporate values service care innovation courage excellence empowerment oportun great place work enthusiastic helping others professional development career ceo raul vazquez says earning paycheck support family critical satisfying career ambitions rewarding greater privilege challenging job growing learning professionally strong positive impact lives others every day responsibilities month end duties responsible stock based compensation accounting financial reporting related equity stock based compensation including preparation equity roll forward responsible financial covenants calculation review store lease agreements prepare deferred rent schedules related journal entries assist preparation review departmental p l assist preparation review month end financial package assist entity level financial statement preparation assist preparation cash flow statement duties prepare fluctuation analysis respond equity confirmations prepare technical memos ad hoc basis review soc 1 ssae 16 reports service providers prepare memo documenting review analysis performed ensure timely accurate recording financial transactions accordance gaap month end close duties special projects arise assist preparation annual quarterly financial statements related disclosures comply sox 404 controls applicable month end process ensuring proper documentation maintained providing testing support prepare schedules external auditors communicate external auditors job requirements required bachelor degree accounting similar degree minimum 3 5 years accounting experience 2 years public accounting experience big 4 preferred sec registrant client base desired skills experience cpa certification plus microsoft dynamics nav jet reports experience plus ast experience plus depth understanding gaap sec reporting requirements strong computer skills including microsoft excel word powerpoint excellent listening written verbal communication skills ability lead work minimal supervision easily respond multiple changing priorities demonstrating sound judgment exercising prudent decision making multi tasker deadline driven detail oriented strong cross functional relationships inter department presentations ability work well others collaborative team environment,"Redwood City, CA",Posted 13 days ago,Senior Accountant (Financial Reporting)
76,The Creative Group,ref id 00410 9500200775classification editorcompensation doetcg looking amazing eagle eyed content editors east bay gigs roles tend long term onsite 40 hrs week skills needed 1 background journalism publishing 2 strong knowledge tone audience across different social media platforms digital content traditional content 3 working knowledge seo best practices 4 collaborative consultative autonomous rolled one 5 comfort last line defense content made public 6 inquisitive research driven easy get along content editors tend work across mediums b2b b2c interested available role please send resume chris [click email resum ] job requirements 3 years working content editor previous experience journalism publishing ability work across digital traditional content collaboration key seo knowledge analyticsthe creative group robert half company specializes placing highly skilled marketing advertising design interactive public relations professionals project full time basis advertising public relations agencies fortune 500 companies small mid sized firms faster finding work strong network reach 12 000 creative marketing hiring managers week addition free job search services provide candidates access online skills training competitive benefits compensation package parent company robert half named fortune magazine list world admired companies highest ranked staffing firm march 1 2016 contact local creative group office 888 989 7037 visit roberthalf com creativegroup apply job find job opportunities applicants applying u job openings must authorized work united states robert half consider qualified applicants criminal histories manner consistent requirements san francisco fair chance ordinance equal opportunity employer f disability vetby clicking apply agreeing robert half terms use,"San Ramon, CA",Posted 6 days ago,Content Editors for East Bay Roles!
77,Eurofins/Lancaster,eurofins world leader food bio pharmaceutical product testing also number one field environmental laboratory services one global market leaders agroscience genomics discovery pharmacology central laboratory services 2 billion annual revenues 23 000 employees across 225 sites 39 countries eurofins leading international group laboratories providing unparalleled range testing support services pharmaceutical biopharmaceutical food environmental consumer products industries governments eurofins lancaster laboratories nationally recognized laboratory searching protein scientist support professional scientific staffing group south san francisco ca protein scientist responsibilities include limited following basic understanding gmp glp procedures fundamental knowledge proteins antibodies specific experience protein formulation plus data analysis excel matlab jmp programs general wet lab skills including protein chromatographic characterization sec iec rp uv visible spectroscopy colorimetric assays perform analysis samples variety biochemical biophysical assays including hplc elsd icief sub visible particle counting osmolality capillary electrophoresis sodium dodecyl sulfate ce sds prepare data presentation assist generating technical reports interact groups within department perform review peer review analytical data troubleshoot method instrumentation problems needed initiate perform investigations development needed develop execute validation plans needed ideal candidate would possess strong organizational scientific computational communication interpersonal skills highly organized team oriented dependable self starter knowledge protein biochemistry required ability conduct process characterization process validation pc pv experiments pre robustness assay qualification studies basic advance analytical knowledge characterizing proteins hplc based chromatographic techniques electrophoresis methods spectroscopy biophysical characterization techniques clinical lab experience gmp glp knowledge plus ability work independently part team self motivated adaptable positive attitude ability learn new techniques perform multiple tasks simultaneously attention detail keep accurate records follow instructions comply company policies basic minimum qualifications bachelor master degree biochemistry chemistry analytical chemistry chemical engineering related degree concentration 1 2 years industrial experience 1 2 years academic research experience authorization work united states indefinitely without restriction sponsorship position full time monday friday 8 5 p overtime needed candidates currently living within commutable distance south san francisco california encouraged apply eurofins lancaster labs employee become part company received national recognition great place work offer excellent full time benefits including comprehensive medical coverage life disability insurance 401 k company match paid holidays time dental vision options learn eurofins lancaster laboratories please explore website www lancasterlabs com eurofins f disabled veteran equal employment opportunity affirmative action employer pi95586263,"South San Francisco, CA",Posted 13 days ago,Protein Scientist
78,"Lab Support, a division of On Assignment",new role within company represents opportunity join dynamic growing organization successful candidate contribute significantly towards submission prosecution company first bla role responsible overseeing statistical activities associated company clinical studies including preparation abstracts manuscripts well preparation submission bla successful candidate work collaboratively house clinical non clinical data management groups well external vendor counterparts statistical programmers plan execute analyses types clinical studies including clinical pharmacology support bla responsibilities include provision timely scientifically sound statistical expertise clinical clinical pharmacology non clinical development projects interact members project teams clinical scientists clinical pharmacologist statistical programmer data management personnel establish project timelines data validation checks perform statistical analyses responsibility providing statistical expertise clinical study design analysis collaborate preparation review protocols crf design clinical study reports develop statistical analysis plans perform exploratory data analysis necessary provide data interpretation manage cros regarding statistical issues activities ensure timely delivery analysis results collaborate data management clinical operations staff implement guidelines standards cros ensure quality deliverables collaborate thought leaders publication study data participate department cross functional meetings optimize clinical study designs endpoints analysis strategies requirements phd ms biostatistics minimum 5 years pharmaceutical industry experience clinical trials particularly study design analysis bla experience preferred essential experience regulatory submissions necessary experience cro management oversight proficient using statistical software experience modelling simulation work would ideal essential excellent oral written communications eeo employer lab support equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 866 612 2739,"Menlo Park, CA",Posted 10 days ago,"Senior Director, Biostatistics"
79,CyberCoders,position open 10 23 2016 solutions architect global smart tv ott industry solutions technical lead sr engineer solutions architect domain experience ott iptv industry please read flagship tech company brought large share smart tv applications used connected devices platforms around world 13 offices internationally well positioned take growing industry iptv cloud solutions storm searching client facing solutions architect cross platform video applications allow content providers stream content across device e ott solutions office locations palo alto ca los angeles ca manhattan ny travel 20 average remote applicants please top reasons work us1 offer competitive base salaries comprehensive benefits medical dental vision 401k pto work flexibility 2 international company success across variety high growth markets 3 opportunity make name highly visible growing industry smart tv solutions create proof concept targeted smart tv set box platform cutting edge technologies e g drms analytics tools ads plugin designing technical solutions client driven role work cross functional globally distributed teams ux product engineering evaluate different tools techniques create common ground developers work perform daily tasks prepare architectural designs used reference software developers set technical standards software developers including coding guidelines best practices develop software applications meet best practices defined oems samsung lg amazon google apple etc define manage software release process define manage quality control standardswhat need positionminimum requirements bachelor degree computer science related preferred prior domain experience ott iptv video solutions experience designing cross platform technical solutions e roku ios android gaming consoles connected devices 5 years software development experience prior experience solutions engineering sales engineering role knowledge software architecture complex designs based user requestsbonus strong coding experience javascript especially mvc frameworks angular js strong command html5 css3 ajax json jquery server side scripting php java node js ios android development experience experience using bitbucket git source code management ability lead scrum meetingswhat competitive base salary bonus 401k matching benefits medical dental vision flexible work hours international travel opportunities perks apply find solutions architect iptv ott space please apply asap prefer also send updated copy email please click apply online button apply thank job title subject line required skillsott video iptv applications cross platform development mobile roku xbox ps3 html5 css3 aws software project managementif good fit solutions architect global smart tv ott industry solutions position background includes ott video iptv applications cross platform development mobile roku xbox ps3 html5 css3 aws software project management interested working following job types information technology engineering professional serviceswithin following industries entertainment banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements ott video iptv applications cross platform development mobile roku xbox ps3 html5 css3 aws software project management,"Palo Alto, CA",Posted 1 day ago,OTT Solutions Architect
80,HireLive,first data recognized leader helping small medium sized businesses grow business solutions seeking energetic tech savvy sales people field based business consultant position position give ability sell full suite first data solutions small midsize businesses including point sale solution clover loyalty solution perka data analytics insightics security compliance transarmor credit debit various cloud based business solution applications accomplished using solution based consultative selling approach designed help clients grow businesses position available business consultant position description position focused sourcing sales opportunities direct sourcing partner relationships may include speaking prospects strategic partner locations working partner representatives acquire leads promote services using co branded marketing collateral partner geographical footprint source new opportunities requires ability generate new opportunities cold calling merchants successful candidate must able self source 100 business position also responsible retaining clients building relationships growing portfolios relationship management cross consulting successful candidates align working hours best leverage opportunities available strategic partners requirements may set minimum partner contact including number required visits time spent partner locations well weekly opportunities generated minimum clients required position requirements technologically savvy comfortable tablet cloud based solutions able apply technology help grow small businesses passion continuously learning leveraging new technology strong cold calling skills ability self source 100 hunter mentality drive identify follow opportunities solution selling experience preferred drive self directed learning personal development entrepreneurial spirit highly self motivated aggressive energetic creative personable professional presence required ability effectively interface executives requires strong written verbal communication skills well strong listening skills ensuring success main point contact portfolio clients bilingual skills plus relationship management account management experience plus experience proven success selling business business business consumer preferred experience capability build new immediate relationships trust clients ability create strong relationships club strategic partner personnel leverage help boost referrals demonstrated success achievement challenging goals expectations ability develop plan effectively produce top line revenue growth demonstrated success building maintaining appropriate pipeline levels diverse experience networking prospecting using social media service organizations cold calling sales skills help achieve revenue goals previous experience using salesforce com proficiency using microsoft office strongly preferred compensation benefits base salary benefits commissions multi year residuals new hire ramp bonus annual achievement bonuses recognition awards expense reimbursement addition offer sales team continual formalized learning operational support ensure kept educated products maximize success member regional sales force always represent first data values embodying highest ethical standards treating others dignity respect genuine concern meet hiring managers november 8th dress success san francisco tuesday november 8th 9 00am 12 30pm hotel nikko san francisco 222 mason street san francisco ca 94102 parking first hour 15 bring 10 15 resumes dress business professional free event job seekers www hirelive com get social hirelive facebook | linkedin job opportunities include inside sales reps outside sales reps account executives retail managers account managers insurance sales customer service technical sales sales managers pharmaceutical sales telesales sales trainer merchandiser mortgage brokers financial planner route sales retail sales retail management human resources much job requirements position requirements technologically savvy comfortable tablet cloud based solutions able apply technology help grow small businesses passion continuously learning leveraging new technology strong cold calling skills ability self source 100 hunter mentality drive identify follow opportunities solution selling experience preferred drive self directed learning personal development entrepreneurial spirit highly self motivated aggressive energetic creative personable professional presence required ability effectively interface executives requires strong written verbal communication skills well strong listening skills ensuring success main point contact portfolio clients bilingual skills plus relationship management account management experience plus experience proven success selling business business business consumer preferred experience capability build new immediate relationships trust clients ability create strong relationships club strategic partner personnel leverage help boost referrals demonstrated success achievement challenging goals expectations ability develop plan effectively produce top line revenue growth demonstrated success building maintaining appropriate pipeline levels diverse experience networking prospecting using social media service organizations cold calling sales skills help achieve revenue goals previous experience using salesforce com proficiency using microsoft office strongly preferred,"San Francisco, CA",Posted 18 days ago,Business Consultant
